Date,metric,ticker,value
2013-12-30,Capital Gains,ISF.L,0.0
2013-12-31,Capital Gains,ISF.L,0.0
2014-01-02,Capital Gains,ISF.L,0.0
2014-01-03,Capital Gains,ISF.L,0.0
2014-01-06,Capital Gains,ISF.L,0.0
2014-01-07,Capital Gains,ISF.L,0.0
2014-01-08,Capital Gains,ISF.L,0.0
2014-01-09,Capital Gains,ISF.L,0.0
2014-01-10,Capital Gains,ISF.L,0.0
2014-01-13,Capital Gains,ISF.L,0.0
2014-01-14,Capital Gains,ISF.L,0.0
2014-01-15,Capital Gains,ISF.L,0.0
2014-01-16,Capital Gains,ISF.L,0.0
2014-01-17,Capital Gains,ISF.L,0.0
2014-01-20,Capital Gains,ISF.L,0.0
2014-01-21,Capital Gains,ISF.L,0.0
2014-01-22,Capital Gains,ISF.L,0.0
2014-01-23,Capital Gains,ISF.L,0.0
2014-01-24,Capital Gains,ISF.L,0.0
2014-01-27,Capital Gains,ISF.L,0.0
2014-01-28,Capital Gains,ISF.L,0.0
2014-01-29,Capital Gains,ISF.L,0.0
2014-01-30,Capital Gains,ISF.L,0.0
2014-01-31,Capital Gains,ISF.L,0.0
2014-02-03,Capital Gains,ISF.L,0.0
2014-02-04,Capital Gains,ISF.L,0.0
2014-02-05,Capital Gains,ISF.L,0.0
2014-02-06,Capital Gains,ISF.L,0.0
2014-02-07,Capital Gains,ISF.L,0.0
2014-02-10,Capital Gains,ISF.L,0.0
2014-02-11,Capital Gains,ISF.L,0.0
2014-02-12,Capital Gains,ISF.L,0.0
2014-02-13,Capital Gains,ISF.L,0.0
2014-02-14,Capital Gains,ISF.L,0.0
2014-02-17,Capital Gains,ISF.L,0.0
2014-02-18,Capital Gains,ISF.L,0.0
2014-02-19,Capital Gains,ISF.L,0.0
2014-02-20,Capital Gains,ISF.L,0.0
2014-02-21,Capital Gains,ISF.L,0.0
2014-02-24,Capital Gains,ISF.L,0.0
2014-02-25,Capital Gains,ISF.L,0.0
2014-02-26,Capital Gains,ISF.L,0.0
2014-02-27,Capital Gains,ISF.L,0.0
2014-02-28,Capital Gains,ISF.L,0.0
2014-03-03,Capital Gains,ISF.L,0.0
2014-03-04,Capital Gains,ISF.L,0.0
2014-03-05,Capital Gains,ISF.L,0.0
2014-03-06,Capital Gains,ISF.L,0.0
2014-03-07,Capital Gains,ISF.L,0.0
2014-03-10,Capital Gains,ISF.L,0.0
2014-03-11,Capital Gains,ISF.L,0.0
2014-03-12,Capital Gains,ISF.L,0.0
2014-03-13,Capital Gains,ISF.L,0.0
2014-03-14,Capital Gains,ISF.L,0.0
2014-03-17,Capital Gains,ISF.L,0.0
2014-03-18,Capital Gains,ISF.L,0.0
2014-03-19,Capital Gains,ISF.L,0.0
2014-03-20,Capital Gains,ISF.L,0.0
2014-03-21,Capital Gains,ISF.L,0.0
2014-03-24,Capital Gains,ISF.L,0.0
2014-03-25,Capital Gains,ISF.L,0.0
2014-03-26,Capital Gains,ISF.L,0.0
2014-03-27,Capital Gains,ISF.L,0.0
2014-03-28,Capital Gains,ISF.L,0.0
2014-03-31,Capital Gains,ISF.L,0.0
2014-04-01,Capital Gains,ISF.L,0.0
2014-04-02,Capital Gains,ISF.L,0.0
2014-04-03,Capital Gains,ISF.L,0.0
2014-04-04,Capital Gains,ISF.L,0.0
2014-04-07,Capital Gains,ISF.L,0.0
2014-04-08,Capital Gains,ISF.L,0.0
2014-04-09,Capital Gains,ISF.L,0.0
2014-04-10,Capital Gains,ISF.L,0.0
2014-04-11,Capital Gains,ISF.L,0.0
2014-04-14,Capital Gains,ISF.L,0.0
2014-04-15,Capital Gains,ISF.L,0.0
2014-04-16,Capital Gains,ISF.L,0.0
2014-04-17,Capital Gains,ISF.L,0.0
2014-04-22,Capital Gains,ISF.L,0.0
2014-04-23,Capital Gains,ISF.L,0.0
2014-04-24,Capital Gains,ISF.L,0.0
2014-04-25,Capital Gains,ISF.L,0.0
2014-04-28,Capital Gains,ISF.L,0.0
2014-04-29,Capital Gains,ISF.L,0.0
2014-04-30,Capital Gains,ISF.L,0.0
2014-05-01,Capital Gains,ISF.L,0.0
2014-05-02,Capital Gains,ISF.L,0.0
2014-05-06,Capital Gains,ISF.L,0.0
2014-05-07,Capital Gains,ISF.L,0.0
2014-05-08,Capital Gains,ISF.L,0.0
2014-05-09,Capital Gains,ISF.L,0.0
2014-05-12,Capital Gains,ISF.L,0.0
2014-05-13,Capital Gains,ISF.L,0.0
2014-05-14,Capital Gains,ISF.L,0.0
2014-05-15,Capital Gains,ISF.L,0.0
2014-05-16,Capital Gains,ISF.L,0.0
2014-05-19,Capital Gains,ISF.L,0.0
2014-05-20,Capital Gains,ISF.L,0.0
2014-05-21,Capital Gains,ISF.L,0.0
2014-05-22,Capital Gains,ISF.L,0.0
2014-05-23,Capital Gains,ISF.L,0.0
2014-05-27,Capital Gains,ISF.L,0.0
2014-05-28,Capital Gains,ISF.L,0.0
2014-05-29,Capital Gains,ISF.L,0.0
2014-05-30,Capital Gains,ISF.L,0.0
2014-06-02,Capital Gains,ISF.L,0.0
2014-06-03,Capital Gains,ISF.L,0.0
2014-06-04,Capital Gains,ISF.L,0.0
2014-06-05,Capital Gains,ISF.L,0.0
2014-06-06,Capital Gains,ISF.L,0.0
2014-06-09,Capital Gains,ISF.L,0.0
2014-06-10,Capital Gains,ISF.L,0.0
2014-06-11,Capital Gains,ISF.L,0.0
2014-06-12,Capital Gains,ISF.L,0.0
2014-06-13,Capital Gains,ISF.L,0.0
2014-06-16,Capital Gains,ISF.L,0.0
2014-06-17,Capital Gains,ISF.L,0.0
2014-06-18,Capital Gains,ISF.L,0.0
2014-06-19,Capital Gains,ISF.L,0.0
2014-06-20,Capital Gains,ISF.L,0.0
2014-06-23,Capital Gains,ISF.L,0.0
2014-06-24,Capital Gains,ISF.L,0.0
2014-06-25,Capital Gains,ISF.L,0.0
2014-06-26,Capital Gains,ISF.L,0.0
2014-06-27,Capital Gains,ISF.L,0.0
2014-06-30,Capital Gains,ISF.L,0.0
2014-07-01,Capital Gains,ISF.L,0.0
2014-07-02,Capital Gains,ISF.L,0.0
2014-07-03,Capital Gains,ISF.L,0.0
2014-07-04,Capital Gains,ISF.L,0.0
2014-07-07,Capital Gains,ISF.L,0.0
2014-07-08,Capital Gains,ISF.L,0.0
2014-07-09,Capital Gains,ISF.L,0.0
2014-07-10,Capital Gains,ISF.L,0.0
2014-07-11,Capital Gains,ISF.L,0.0
2014-07-14,Capital Gains,ISF.L,0.0
2014-07-15,Capital Gains,ISF.L,0.0
2014-07-16,Capital Gains,ISF.L,0.0
2014-07-17,Capital Gains,ISF.L,0.0
2014-07-18,Capital Gains,ISF.L,0.0
2014-07-21,Capital Gains,ISF.L,0.0
2014-07-22,Capital Gains,ISF.L,0.0
2014-07-23,Capital Gains,ISF.L,0.0
2014-07-24,Capital Gains,ISF.L,0.0
2014-07-25,Capital Gains,ISF.L,0.0
2014-07-28,Capital Gains,ISF.L,0.0
2014-07-29,Capital Gains,ISF.L,0.0
2014-07-30,Capital Gains,ISF.L,0.0
2014-07-31,Capital Gains,ISF.L,0.0
2014-08-01,Capital Gains,ISF.L,0.0
2014-08-04,Capital Gains,ISF.L,0.0
2014-08-05,Capital Gains,ISF.L,0.0
